time_sec, lat_deg, lon_deg, speed_mps, heading_deg, pitch_deg, roll_deg, gps_hdg, imu_hdg, imu_hdg_error, imu_hdg_bias, gpsFixQual, numSat
135.66, 39.31285476685, -77.03449249268, 2.28, 95.60, -9.31, 1.75, 95.01, 99.01, -4.00, -3.41, SPS, 10
135.86, 39.31285095215, -77.03449249268, 2.27, 95.77, -9.25, 1.75, 95.88, 99.01, -3.13, -3.24, SPS, 10
136.07, 39.31285095215, -77.03448486328, 2.20, 95.90, -9.25, 1.69, 95.73, 99.01, -3.03, -3.11, SPS, 10
136.27, 39.31285095215, -77.03448486328, 2.11, 95.30, -9.25, 1.50, 94.90, 99.01, -4.22, -3.70, SPS, 10
136.48, 39.31285095215, -77.03447723389, 2.10, 95.16, -9.25, 1.50, 94.74, 99.01, -3.79, -3.85, SPS, 10
136.68, 39.31285095215, -77.03446960449, 2.07, 95.07, -8.88, 1.50, 95.68, 99.13, -4.07, -4.06, SPS, 10
136.83, 39.31285095215, -77.03446197510, 2.08, 95.67, -8.50, 1.69, 95.77, 99.26, -3.42, -3.59, SPS, 10
137.04, 39.31285095215, -77.03446197510, 2.10, 95.34, -7.50, 2.13, 95.03, 99.76, -4.60, -4.42, SPS, 10
137.24, 39.31284713745, -77.03445434570, 2.21, 99.56, -7.25, 2.19, 100.45, 100.44, 0.19, -0.89, SPS, 10
137.45, 39.31284713745, -77.03445434570, 2.22, 100.59, -6.38, 3.13, 99.76, 101.44, -1.43, -0.86, SPS, 10
137.65, 39.31284713745, -77.03444671631, 2.25, 101.75, -5.63, 3.81, 101.30, 102.69, -1.08, -0.94, SPS, 10
137.85, 39.31284713745, -77.03443908691, 2.29, 103.62, -5.38, 3.56, 103.56, 104.26, -0.32, -0.64, SPS, 10
138.06, 39.31284332275, -77.03443145752, 2.33, 104.42, -5.25, 3.50, 103.30, 105.94, -2.21, -1.52, SPS, 10
138.26, 39.31284332275, -77.03443145752, 2.35, 104.49, -5.06, 3.19, 102.46, 107.82, -4.86, -3.33, SPS, 10
138.47, 39.31284332275, -77.03442382813, 2.48, 108.53, -4.94, 3.00, 109.31, 109.69, 0.12, -1.17, SPS, 10
138.67, 39.31283950806, -77.03441619873, 2.58, 111.91, -4.81, 3.06, 114.47, 111.69, 1.46, 0.22, SPS, 10
138.87, 39.31283950806, -77.03441619873, 2.64, 115.53, -4.81, 3.19, 116.39, 113.69, 2.43, 1.84, SPS, 10
